,0,1
0,22.88215,13.208757
1,-59.819527,0.23841834
2,-27.126503,6.832862
3,56.28857,20.947817
4,-60.933994,0.12109308
5,47.818806,3.3733172
6,-4.4368258,-19.024145
7,-59.646667,0.32538006
8,42.973427,49.20487
9,-19.125664,-72.285065
10,-5.093213,-7.645351
11,24.464481,-33.151035
12,-19.42315,69.975235
13,6.4823923,-72.44892
14,7.526787,-78.01947
15,3.7563426,-77.04267
16,8.144302,-29.822779
17,8.968943,5.253857
18,43.628914,-17.0354
19,22.872726,9.203998
20,25.095213,60.445637
21,-16.079823,77.45148
22,16.969345,-30.576866
23,-15.475187,-28.73149
24,12.334138,-7.08383
25,-31.463217,23.687397
26,5.5817027,4.4385977
27,36.438496,-39.255295
28,55.197086,18.76487
29,26.166946,-58.027424
30,14.012159,-90.39041
31,4.9977946,-7.0041447
32,11.358496,29.861502
33,32.912777,-65.87018
34,0.15096916,3.7622836
35,-12.745211,-31.447718
36,21.114965,-41.75448
37,2.3656173,11.711546
38,54.772804,-21.610523
39,28.525658,-56.96721
40,52.595364,33.20425
41,22.580868,27.079014
42,-24.562494,69.15985
43,21.285748,-75.1468
44,-36.184116,9.584466
45,-38.156357,66.64682
46,60.264675,-50.387592
47,-9.306947,-61.18686
48,-32.132915,8.392214
49,-51.493618,55.697323
50,44.17945,41.749043
51,62.956615,-4.7558594
52,-83.22641,-10.410021
53,20.478956,15.206089
54,35.395134,-2.7708783
55,-60.26703,0.07446749
56,9.960924,-3.2808764
57,-60.629818,0.26017064
58,-37.79791,64.70956
59,-18.717878,-41.774395
60,-8.604334,-86.37501
61,7.491449,-38.700874
62,-37.615543,-39.374016
63,63.690628,-1.6348654
64,-30.73178,49.449802
65,8.960698,45.1089
66,-16.26156,-36.8003
67,16.961348,10.6990185
68,44.80377,44.673656
69,-67.633026,-31.196299
70,-1.4303439,62.473614
71,-5.022747,61.659607
72,34.99749,-63.64305
73,-29.058144,65.40299
74,-2.9813735,83.851494
75,-28.325043,-18.086042
76,-58.825233,0.5625232
77,36.089798,-30.061617
78,-83.83328,-11.480956
79,-3.3902047,-25.85696
80,-3.122204,4.086479
81,-23.95449,66.39865
82,-60.947487,0.11522869
83,8.354231,5.124068
84,-37.149456,-36.190258
85,4.867787,-34.30212
86,-2.5277972,-61.844765
87,20.510067,-6.3984404
88,4.5273824,58.604267
89,-35.302864,-29.732628
90,-53.369617,-44.735603
91,13.138229,50.604755
92,12.921636,70.09798
93,-60.319023,0.65558165
94,-59.203564,0.17701954
95,-8.935752,4.5896835
96,-58.476147,0.41480356
97,-34.76776,23.573431
98,18.181166,-88.41999
99,20.909456,-75.27115
100,-55.136955,-43.10421
101,5.5644426,73.139336
102,-28.333353,63.768234
103,27.21624,-65.06748
104,-11.573928,61.77207
105,42.41126,27.62983
106,-14.741031,25.0892
107,20.448822,-76.51121
108,26.739372,-47.582912
109,9.875573,-76.956955
110,7.9509625,37.30425
111,-54.877693,43.23762
112,-36.37763,69.27194
113,-15.949499,-65.22488
114,21.113298,67.90869
115,-59.978653,0.7843029
116,-47.273876,50.740047
117,20.680965,-19.416176
118,-3.9694567,53.479797
119,50.269295,-48.986332
120,51.49464,36.285107
121,1.1050144,-71.80094
122,36.975346,-47.45187
123,-40.750584,10.662255
124,-60.28955,0.67401814
125,21.644375,-70.35213
126,45.893906,-34.933693
127,61.260475,-40.224094
128,5.2674227,76.193085
129,2.274243,78.18084
130,12.9219,12.432676
131,23.653725,8.739599
132,-1.1303647,18.046423
133,31.044554,71.79165
134,29.560266,0.94608915
135,-60.241768,0.71526396
136,-12.582006,-32.30908
137,15.2966385,63.349476
138,34.97665,-61.791042
139,-34.712753,-28.446753
140,5.0776525,75.71976
141,17.493181,-3.2323697
142,-9.026749,7.8989825
143,-35.589424,68.988464
144,-12.737802,23.639267
145,-84.0975,-16.919233
146,-6.69474,57.85478
147,-79.43616,-23.00018
148,-27.402895,55.977627
149,10.890125,-23.518991
150,29.93482,-56.32974
151,-49.084324,43.90957
152,30.622656,66.015785
153,7.6619406,18.05315
154,55.16535,-12.395274
155,11.727998,-88.70878
156,-34.385914,60.29622
157,-60.219196,0.7261039
158,-33.092243,-25.859953
159,6.4454336,68.85959
160,-45.88102,52.029827
161,28.98329,66.89744
162,9.202269,64.03383
163,52.858738,-35.857876
164,-4.1283255,52.43781
165,43.03517,28.09426
166,-3.8615088,4.169252
167,3.5535731,-5.7405605
168,-1.4194926,-21.632864
169,27.658401,29.124369
170,-0.83847123,-82.30061
171,-37.23577,-36.875214
172,50.302048,-12.734597
173,21.207785,1.4529117
174,14.693908,-87.7467
175,25.182388,69.384384
176,-4.7211246,17.75095
177,-20.66268,-71.43057
178,20.78125,-6.259208
179,21.568632,-3.2203104
180,22.99397,0.7415457
181,17.298216,-53.01484
182,45.864395,-56.432606
183,-82.15056,-20.133387
184,-31.433641,-23.69258
185,28.792927,-33.47546
186,19.957514,45.6326
187,34.903175,40.59658
188,14.968237,-83.05037
189,-37.57451,68.43061
190,4.447305,-5.8011417
191,17.716467,28.837988
192,6.7402067,39.956646
