10	0.62	0.50
20	0.73	0.52
30	0.81	0.66
40	0.78	0.53
50	0.84	0.54
60	0.79	0.52
70	0.85	0.58
80	0.82	0.52
90	0.76	0.50
100	0.78	0.61
110	0.85	0.65
120	0.83	0.63
130	0.79	0.55
140	0.80	0.48
150	0.81	0.53
160	0.85	0.63
170	0.86	0.53
180	0.85	0.49
190	0.87	0.43
200	0.75	0.57
210	0.80	0.54
220	0.84	0.54
230	0.80	0.64
240	0.86	0.59
250	0.83	0.57
260	0.84	0.65
270	0.80	0.62
280	0.80	0.63
290	0.81	0.52
300	0.82	0.58
310	0.80	0.54
320	0.68	0.66
330	0.77	0.53
340	0.79	0.58
350	0.91	0.68
360	0.81	0.49
370	0.87	0.59
380	0.80	0.65
390	0.85	0.56
400	0.88	0.56
410	0.78	0.62
420	0.75	0.61
430	0.80	0.66
440	0.85	0.63
450	0.84	0.65
460	0.70	0.63
470	0.79	0.63
480	0.87	0.59
490	0.75	0.59
