10	0.66	0.50
20	0.62	0.54
30	0.75	0.66
40	0.78	0.51
50	0.72	0.54
60	0.74	0.55
70	0.83	0.61
80	0.84	0.44
90	0.81	0.58
100	0.77	0.48
110	0.81	0.48
120	0.74	0.49
130	0.78	0.60
140	0.75	0.56
150	0.77	0.62
160	0.81	0.49
170	0.83	0.51
180	0.77	0.53
190	0.83	0.58
200	0.80	0.51
210	0.76	0.57
220	0.80	0.52
230	0.91	0.62
240	0.72	0.63
250	0.82	0.57
260	0.76	0.59
270	0.80	0.56
280	0.80	0.56
290	0.82	0.57
300	0.73	0.57
310	0.76	0.46
320	0.69	0.54
330	0.79	0.47
340	0.75	0.51
350	0.83	0.66
360	0.72	0.58
370	0.85	0.58
380	0.82	0.56
390	0.73	0.60
